Precision,Recall,F1,FalseP,FalseN,TrueP,TrueN,TestedSamples,TrainedSamples
0.104167,1.000000,0.188679,0.895833,0.000000,0.104167,0.000000,48.000000,21
NaN,0.000000,NaN,0.000000,0.145833,0.000000,0.854167,48.000000,21
0.285714,1.000000,0.444444,0.208333,0.000000,0.083333,0.708333,48.000000,21
0.145833,1.000000,0.254545,0.854167,0.000000,0.145833,0.000000,48.000000,21
0.083333,1.000000,0.153846,0.916667,0.000000,0.083333,0.000000,48.000000,21
NaN,0.000000,NaN,0.000000,0.125000,0.000000,0.875000,48.000000,21
NaN,0.000000,NaN,0.000000,0.125000,0.000000,0.875000,48.000000,21
NaN,0.000000,NaN,0.000000,0.041667,0.000000,0.958333,48.000000,21
0.181818,0.666667,0.285714,0.187500,0.020833,0.041667,0.750000,48.000000,21
NaN,0.000000,NaN,0.000000,0.041667,0.000000,0.958333,48.000000,21
0.104167,1.000000,0.188679,0.895833,0.000000,0.104167,0.000000,48.000000,21
0.250000,0.800000,0.380952,0.250000,0.020833,0.083333,0.645833,48.000000,21
0.083333,1.000000,0.153846,0.916667,0.000000,0.083333,0.000000,48.000000,21
0.166667,0.600000,0.260870,0.312500,0.041667,0.062500,0.583333,48.000000,21
0.125000,0.500000,0.200000,0.145833,0.020833,0.020833,0.812500,48.000000,21
0.071429,0.333333,0.117647,0.270833,0.041667,0.020833,0.666667,48.000000,21
0.095238,0.500000,0.160000,0.395833,0.041667,0.041667,0.520833,48.000000,21
NaN,0.000000,NaN,0.000000,0.145833,0.000000,0.854167,48.000000,21
0.416667,0.714286,0.526316,0.145833,0.041667,0.104167,0.708333,48.000000,21
0.083333,1.000000,0.153846,0.916667,0.000000,0.083333,0.000000,48.000000,21
